日経平均,日足,,,
日付,始値,高値,安値,終値
2013/5/29,14492.55,14512.28,14243.49,14326.46
2013/5/28,13943.62,14399.78,13943.62,14311.98
2013/5/27,14373.82,14381.28,14027.42,14142.65
2013/5/24,14731.75,15007.5,13981.52,14612.45
2013/5/23,15739.98,15942.6,14483.98,14483.98
2013/5/22,15440.69,15706.63,15432.64,15627.26
2013/5/21,15264.79,15388.37,15264.42,15381.02
2013/5/20,15260.61,15381.74,15245.8,15360.81
2013/5/17,14926.42,15157.32,14902.3,15138.12
2013/5/16,15146.05,15155.72,14879.51,15037.24
2013/5/15,14962.34,15108.83,14956.38,15096.03
2013/5/14,14822.56,14839.79,14755.08,14758.42
2013/5/13,14759.5,14849.01,14727.7,14782.21
2013/5/10,14449.24,14636.81,14426.74,14607.54
2013/5/9,14366.95,14409.82,14191.48,14191.48
2013/5/8,14196.2,14421.38,14186.83,14285.69
2013/5/7,13960.04,14196.38,13951.81,14180.24
2013/5/2,13727.25,13780.48,13637.96,13694.04
2013/5/1,13837.72,13844.82,13782,13799.35
2013/4/30,13854.82,13897.06,13778.75,13860.86
2013/4/26,13978.98,13983.87,13852.2,13884.13
2013/4/25,13887.53,13974.26,13827.96,13926.08
2013/4/24,13687.28,13843.46,13686.78,13843.46
2013/4/23,13545.6,13585.35,13505.53,13529.65
2013/4/22,13537.17,13611.58,13529.44,13568.37
2013/4/19,13268.43,13338.75,13186.89,13316.48
2013/4/18,13272.22,13377.74,13200.85,13220.07
2013/4/17,13330.5,13397.5,13318.69,13382.89
2013/4/16,13023.91,13312.23,13004.46,13221.44
2013/4/15,13345.86,13408.29,13257.86,13275.66
2013/4/12,13568.25,13568.25,13402.86,13485.14
2013/4/11,13444.95,13549.16,13384.11,13549.16
2013/4/10,13177.31,13325.15,13177.31,13288.13
2013/4/9,13309.13,13331.39,13151.73,13192.35
2013/4/8,13082.61,13225.22,13080.29,13192.59
2013/4/5,12880.82,13225.62,12831.1,12833.64
2013/4/4,12188.22,12634.54,12075.97,12634.54
2013/4/3,12112.09,12362.2,12102.05,12362.2
2013/4/2,12051.57,12107.4,11805.78,12003.43
2013/4/1,12371.34,12384.83,12133,12135.02
2013/3/29,12405.53,12425.96,12319.75,12397.91
2013/3/28,12457.13,12462.86,12286.37,12335.96
2013/3/27,12476.58,12502.26,12442.39,12493.79
